"Symbol","Name"
"SPY","SPDR S&P 500 ETF"
"XLF","Financial Select Sector SPDR Fund"
"EEM","iShares MSCI Emerging Markets ETF"
"GDX","VanEck Vectors Gold Miners ETF"
"VXX","iPath S&P 500 VIX Short-Term Futures ETN"
"QQQ","PowerShares QQQ"
"UVXY","ProShares Ultra VIX Short-Term Futures"
"IWM","iShares Russell 2000 ETF"
"EWZ","iShares MSCI Brazil Capped ETF"
"USO","United States Oil Fund"
"UGAZ","VelocityShares 3x Long Natural Gas"
"TVIX","VelocityShares Daily 2x VIX Short Term ETN"
"EFA","iShares MSCI EAFE ETF"
"XOP","SPDR S&P Oil & Gas Exploration & Production ETF"
"XLE","Energy Select Sector SPDR Fund"
"FXI","iShares China Large-Cap ETF"
"GDXJ","VanEck Vectors Junior Gold Miners ETF"
"XLU","Utilities Select Sector SPDR Fund"
"JNUG","Direxion Daily Junior Gold Miners Index Bull 3x Shares"
"AMLP","Alerian MLP ETF"
"XLP","Consumer Staples Select Sector SPDR Fund"
"HYG","iShares iBoxx $ High Yield Corporate Bond ETF"
"IAU","iShares Gold Trust"
"VWO","Vanguard FTSE Emerging Markets ETF"
"XIV","VelocityShares Daily Inverse VIX Short Term ETN"
"JNK","SPDR Barclays High Yield Bond ETF"
"XLI","Industrial Select Sector SPDR Fund"
"XLK","Technology Select Sector SPDR Fund"
"TLT","iShares 20+ Year Treasury Bond ETF"
"UNG","United States Natural Gas Fund"
"TZA","Direxion Daily Small Cap Bear 3X Shares"
"GLD","SPDR Gold Trust"
"EWJ","iShares MSCI Japan ETF"
"VEA","Vanguard FTSE Developed Markets ETF"
"SLV","iShares Silver Trust"
"IEMG","iShares Core MSCI Emerging Markets ETF"
"SVXY","ProShares Short VIX Short-Term Futures"
"DUST","Direxion Daily Gold Miners Bear 3X Shares"
"XLV","Health Care Select Sector SPDR Fund"
"SQQQ","ProShares UltraPro Short QQQ"
"NUGT","Direxion Daily Gold Miners Bull 3X Shares"
"LABD","Direxion Daily S&P Biotech Bear 3x Shares"
"IYR","iShares U.S. Real Estate ETF"
"RSX","VanEck Vectors Russia ETF"
"LQD","iShares iBoxx $ Investment Grade Corporate Bond ETF"
"EZU","iShares MSCI EMU ETF"
"UWT","VelocityShares 3x Long Crude Oil ETN"
"OIH","VanEck Vectors Oil Services ETF"
"KRE","SPDR S&P Regional Banking ETF"
"SPXU","ProShares UltraPro Short S&P 500"
"UCO","ProShares Ultra Bloomberg Crude Oil"
"DGAZ","VelocityShares 3x Inverse Natural Gas"
"XLB","Materials Select Sector SPDR ETF"
"XLY","Consumer Discretionary Select Sector SPDR Fund"
"XRT","SPDR S&P Retail ETF"
"IEFA","iShares Core MSCI EAFE ETF"
"XBI","SPDR S&P Biotech ETF"
"EWH","iShares MSCI Hong Kong ETF"
"TQQQ","ProShares UltraPro QQQ"
"DWT","VelocityShares 3x Inverse Crude Oil ETN"
"IVV","iShares Core S&P 500 ETF"
"SDS","ProShares UltraShort S&P 500"
"VNQ","Vanguard REIT ETF"
"BKLN","PowerShares Senior Loan ETF"
"SMH","VanEck Vectors Semiconductor ETF"
"TNA","Direxion Daily Small Cap Bull 3X Shares"
"EWT","iShares MSCI Taiwan Capped ETF"
"INDA","iShares MSCI India ETF"
"DXJ","WisdomTree Japan Hedged Equity Fund"
"EWW","iShares MSCI Mexico Capped ETF"
"EWG","iShares MSCI Germany ETF"
"QID","ProShares UltraShort QQQ"
"ITB","iShares U.S. Home Construction ETF"
"OIL","iPath S&P GSCI Crude Oil Index ETN"
"IJR","iShares Core S&P Small-Cap ETF"
"VGK","Vanguard FTSE Europe ETF"
"EWY","iShares MSCI South Korea Capped ETF"
"AGG","iShares Core U.S. Aggregate Bond ETF"
"XME","SPDR S&P Metals & Mining ETF"
"DIA","SPDR Dow Jones Industrial Average ETF"
"AMJ","JPMorgan Alerian MLP Index ETN"
"PFF","iShares U.S. Preferred Stock ETF"
"FEZ","SPDR EURO STOXX 50 ETF"
"EWC","iShares MSCI Canada ETF"
"VTI","Vanguard Total Stock Market ETF"
"USLV","VelocityShares 3x Long Silver ETN"
"KBE","SPDR S&P Bank ETF"
"JDST","Direxion Daily Junior Gold Miners Index Bear 3X Shares"
"EWP","iShares MSCI Spain Capped ETF"
"TBT","UltraShort Barclays 20+ Year Treasury"
"SH","ProShares Short S&P 500"
"BND","Vanguard Total Bond Market ETF"
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF"
"EWA","iShares MSCI-Australia ETF"
"EPI","WisdomTree India Earnings Fund"
"IEF","iShares 7-10 Year Treasury Bond ETF"
"DBC","PowerShares DB Commodity Index Tracking Fund"
"XLRE","Real Estate Select Sector SPDR Fund"
"EWU","iShares MSCI United Kingdom ETF"
"VOO","Vanguard S&P 500 ETF"
